protein_external_id	preferred_name	protein_size	annotation
7668.SPU_012315-tr	SPU_012315-tr	761	Uncharacterized protein
7668.SPU_012316-tr	SPU_012316-tr	150	Uncharacterized protein
7668.SPU_012317-tr	LOC593355	293	Uncharacterized protein
7668.SPU_012318-tr	LOC592055	349	Uncharacterized protein; Belongs to the G-protein coupled receptor 1 family
7668.SPU_012319-tr	SPU_012319-tr	1454	Uncharacterized protein
7668.SPU_012320-tr	LOC577159	280	Uncharacterized protein
7668.SPU_012321-tr	SPU_012321-tr	125	Uncharacterized protein
7668.SPU_012322-tr	LOC577099	1129	Uncharacterized protein
7668.SPU_012323-tr	LOC575936	305	Uncharacterized protein
7668.SPU_012324-tr	LOC592914	773	Uncharacterized protein
7668.SPU_012325-tr	SPU_012325-tr	150	Uncharacterized protein
7668.SPU_012326-tr	SPU_012326-tr	748	Uncharacterized protein
7668.SPU_012327-tr	SPU_012327-tr	307	Uncharacterized protein
7668.SPU_012328-tr	TPC1	420	Uncharacterized protein
7668.SPU_012329-tr	LOC373476	265	Uncharacterized protein; Belongs to the syntaxin family
7668.SPU_012330-tr	LOC579683	487	Uncharacterized protein
7668.SPU_012331-tr	SPU_012331-tr	79	Uncharacterized protein
7668.SPU_012332-tr	SPU_012332-tr	275	Uncharacterized protein
7668.SPU_012333-tr	LOC755141	354	Uncharacterized protein
7668.SPU_012334-tr	LOC594793	641	annotation not available
7668.SPU_012335-tr	LOC583253	288	Uncharacterized protein
7668.SPU_012336-tr	SPU_012336-tr	577	Uncharacterized protein
7668.SPU_012337-tr	SPU_012337-tr	1059	Uncharacterized protein
7668.SPU_012338-tr	SPU_012338-tr	115	Uncharacterized protein
7668.SPU_012339-tr	SPU_012339-tr	108	Uncharacterized protein
7668.SPU_012340-tr	LOC594310	193	Uncharacterized protein
7668.SPU_012341-tr	SPU_012341-tr	281	Deoxyribonuclease; Belongs to the DNase I family
7668.SPU_012342-tr	LOC590946	318	Uncharacterized protein
7668.SPU_012343-tr	LOC590970	315	Uncharacterized protein
7668.SPU_012344-tr	LOC588939	281	Uncharacterized protein
7668.SPU_012345-tr	LOC583491	149	Uncharacterized protein
7668.SPU_012346-tr	SPU_012346-tr	123	Histone H2B, embryonic 
7668.SPU_012347-tr	SPU_012347-tr	50	Uncharacterized protein
7668.SPU_012348-tr	LOC588371	466	Flavin-containing monooxygenase
7668.SPU_012349-tr	LOC588345	503	Uncharacterized protein
7668.SPU_012350-tr	SPU_012350-tr	2006	Uncharacterized protein
7668.SPU_012351-tr	SPU_012351-tr	894	Uncharacterized protein
7668.SPU_012352-tr	SPU_012352-tr	1160	Uncharacterized protein
7668.SPU_012353-tr	SPU_012353-tr	124	Uncharacterized protein
7668.SPU_012354-tr	SPU_012354-tr	1435	Uncharacterized protein
7668.SPU_012355-tr	SPU_012355-tr	810	Uncharacterized protein
7668.SPU_012356-tr	LOC579056	440	Uncharacterized protein
7668.SPU_012357-tr	LOC764485	312	Palmitoyltransferase; Belongs to the DHHC palmitoyltransferase family
7668.SPU_012358-tr	SPU_012358-tr	305	Uncharacterized protein; Belongs to the two pore domain potassium channel (TC 1.A.1.8) family
7668.SPU_012359-tr	LOC764512	118	Uncharacterized protein
7668.SPU_012360-tr	SPU_012360-tr	74	COX assembly mitochondrial protein
7668.SPU_012361-tr	KCTD3	674	Uncharacterized protein
7668.SPU_012362-tr	SPU_012362-tr	938	Uncharacterized protein; Belongs to the G-protein coupled receptor 2 family
7668.SPU_012363-tr	SPU_012363-tr	329	Uncharacterized protein
7668.SPU_012364-tr	SPU_012364-tr	70	Uncharacterized protein
7668.SPU_012365-tr	SPU_012365-tr	65	Uncharacterized protein
7668.SPU_012366-tr	LOC575404	346	Uncharacterized protein
7668.SPU_012367-tr	SPU_012367-tr	280	Uncharacterized protein
7668.SPU_012368-tr	LOC580950	152	Uncharacterized protein; Belongs to the complex I LYR family
7668.SPU_012369-tr	SPU_012369-tr	255	Uncharacterized protein
7668.SPU_012370-tr	SPU_012370-tr	555	Uncharacterized protein
7668.SPU_012371-tr	SPU_012371-tr	213	Uncharacterized protein
7668.SPU_012372-tr	SPU_012372-tr	957	Uncharacterized protein
7668.SPU_012373.b-tr	LOC577260	478	Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex
7668.SPU_012374-tr	LOC577317	1016	Uncharacterized protein
7668.SPU_012375-tr	SPU_012375-tr	402	Uncharacterized protein
7668.SPU_012376-tr	LOC574880	201	DNA replication complex GINS protein SLD5; The GINS complex plays an essential role in the initiation of DNA replication
7668.SPU_012377-tr	SPU_012377-tr	346	Uncharacterized protein
7668.SPU_012378-tr	LOC764612	320	Uncharacterized protein
7668.SPU_012379-tr	SPU_012379-tr	538	Uncharacterized protein
7668.SPU_012380-tr	LOC585285	1296	Uncharacterized protein
7668.SPU_012381-tr	LOC763590	127	Uncharacterized protein
7668.SPU_012382-tr	SPU_012382-tr	1120	Uncharacterized protein
7668.SPU_012383-tr	SPU_012383-tr	2574	Uncharacterized protein
7668.SPU_012384-tr	foxq2	330	Uncharacterized protein
7668.SPU_012385-tr	LOC576118	189	Tetraspanin
7668.SPU_012386-tr	SPU_012386-tr	481	Uncharacterized protein
7668.SPU_012387-tr	SPU_012387-tr	151	Uncharacterized protein
7668.SPU_012388-tr	SPU_012388-tr	419	Uncharacterized protein
7668.SPU_012389-tr	SPU_012389-tr	103	Histone H4 
7668.SPU_012390-tr	SPU_012390-tr	206	Uncharacterized protein; Belongs to the peptidase S1 family
7668.SPU_012391-tr	SPU_012391-tr	564	Uncharacterized protein
7668.SPU_012392-tr	SPU_012392-tr	1669	Uncharacterized protein
7668.SPU_012393-tr	SPU_012393-tr	588	Uncharacterized protein
7668.SPU_012394-tr	SPU_012394-tr	721	Uncharacterized protein
7668.SPU_012395-tr	LOC586519	549	Uncharacterized protein
7668.SPU_012396-tr	LOC586588	106	Transcription factor BTF3; Belongs to the NAC-beta family
7668.SPU_012397-tr	LOC586643	482	Phosphatidylinositol-glycan biosynthesis class W protein; Probable acetyltransferase, which acetylates the inositol ring of phosphatidylinositol during biosynthesis of GPI- anchor
7668.SPU_012398-tr	SPU_012398-tr	251	Uncharacterized protein
7668.SPU_012399-tr	SPU_012399-tr	230	Uncharacterized protein
7668.SPU_012400-tr	SPU_012400-tr	415	Uncharacterized protein; Belongs to the G-protein coupled receptor 1 family
7668.SPU_012401-tr	LOC590194	749	Uncharacterized protein
7668.SPU_012402-tr	SPU_012402-tr	625	Uncharacterized protein
7668.SPU_012403-tr	SPU_012403-tr	1227	Uncharacterized protein
7668.SPU_012404-tr	LOC589684	113	Uncharacterized protein
7668.SPU_012405-tr	LOC582038	296	Uncharacterized protein
7668.SPU_012406-tr	SPU_012406-tr	381	Uncharacterized protein
7668.SPU_012407-tr	LOC763459	258	Uncharacterized protein
7668.SPU_012408-tr	SPU_012408-tr	464	Uncharacterized protein
7668.SPU_012409-tr	SPU_012409-tr	113	Uncharacterized protein
7668.SPU_012410-tr	SPU_012410-tr	1058	Uncharacterized protein
7668.SPU_012411-tr	SPU_012411-tr	39	Uncharacterized protein
7668.SPU_012412-tr	SPU_012412-tr	225	Uncharacterized protein
7668.SPU_012413-tr	SPU_012413-tr	970	Uncharacterized protein
7668.SPU_012414-tr	SPU_012414-tr	871	Uncharacterized protein
7668.SPU_012415-tr	SPU_012415-tr	175	Uncharacterized protein
7668.SPU_012416-tr	SPU_012416-tr	1170	Uncharacterized protein
7668.SPU_012417-tr	SPU_012417-tr	2054	Uncharacterized protein
7668.SPU_012418-tr	SPU_012418-tr	544	Uncharacterized protein
7668.SPU_012419-tr	LOC581406	302	Uncharacterized protein
7668.SPU_012420-tr	SPU_012420-tr	695	Uncharacterized protein
7668.SPU_012421-tr	SPU_012421-tr	1268	Uncharacterized protein
7668.SPU_012422-tr	SPU_012422-tr	1405	Uncharacterized protein
7668.SPU_012423-tr	SPU_012423-tr	582	Uncharacterized protein
7668.SPU_012424-tr	SPU_012424-tr	107	Uncharacterized protein
7668.SPU_012425-tr	SPU_012425-tr	172	Uncharacterized protein
7668.SPU_012426-tr	LOC585202	349	Uncharacterized protein
7668.SPU_012427-tr	SPU_012427-tr	303	Uncharacterized protein
7668.SPU_012428-tr	SPU_012428-tr	196	Uncharacterized protein
7668.SPU_012429-tr	SPU_012429-tr	113	Uncharacterized protein
7668.SPU_012430-tr	LOC592766	228	Uncharacterized protein
7668.SPU_012431-tr	LOC578688	734	DNA helicase; Belongs to the MCM family
7668.SPU_012432-tr	SPU_012432-tr	323	Uncharacterized protein
7668.SPU_012433-tr	SPU_012433-tr	146	Uncharacterized protein
7668.SPU_012434-tr	SPU_012434-tr	226	Uncharacterized protein; Belongs to the G-protein coupled receptor 1 family
7668.SPU_012435-tr	SPU_012435-tr	314	Uncharacterized protein; Belongs to the G-protein coupled receptor 1 family
7668.SPU_012436-tr	SPU_012436-tr	313	Uncharacterized protein; Belongs to the G-protein coupled receptor 1 family
7668.SPU_012437-tr	SPU_012437-tr	318	Uncharacterized protein; Belongs to the G-protein coupled receptor 1 family
7668.SPU_012438-tr	SPU_012438-tr	317	Uncharacterized protein; Belongs to the G-protein coupled receptor 1 family
7668.SPU_012439-tr	SPU_012439-tr	160	Uncharacterized protein
7668.SPU_012440-tr	SPU_012440-tr	400	Uncharacterized protein
7668.SPU_012441-tr	SPU_012441-tr	88	Uncharacterized protein
7668.SPU_012442-tr	SPU_012442-tr	113	Uncharacterized protein
7668.SPU_012443-tr	SPU_012443-tr	966	Uncharacterized protein
7668.SPU_012444-tr	SPU_012444-tr	419	Uncharacterized protein
7668.SPU_012445-tr	SPU_012445-tr	270	Uncharacterized protein
7668.SPU_012446-tr	SPU_012446-tr	407	Uncharacterized protein; Belongs to the G-protein coupled receptor 1 family
7668.SPU_012447-tr	SPU_012447-tr	378	Uncharacterized protein
7668.SPU_012448-tr	LOC583158	967	Uncharacterized protein
7668.SPU_012449-tr	LOC589600	329	Uncharacterized protein
7668.SPU_012450-tr	SPU_012450-tr	288	Uncharacterized protein
7668.SPU_012451-tr	SPU_012451-tr	230	Uncharacterized protein
7668.SPU_012452-tr	SPU_012452-tr	390	Uncharacterized protein; Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
7668.SPU_012453-tr	SPU_012453-tr	182	Uncharacterized protein
7668.SPU_012454-tr	SPU_012454-tr	177	Uncharacterized protein
7668.SPU_012455-tr	LOC592405	217	Uncharacterized protein
7668.SPU_012456-tr	SPU_012456-tr	147	Uncharacterized protein
7668.SPU_012457-tr	LOC592424	1047	Uncharacterized protein
7668.SPU_012458-tr	SPU_012458-tr	906	Uncharacterized protein
7668.SPU_012459-tr	SPU_012459-tr	85	Uncharacterized protein
7668.SPU_012460-tr	SPU_012460-tr	57	Uncharacterized protein
7668.SPU_012461-tr	SPU_012461-tr	145	Uncharacterized protein
7668.SPU_012462-tr	SPU_012462-tr	162	Uncharacterized protein
7668.SPU_012463-tr	SPU_012463-tr	557	Uncharacterized protein
7668.SPU_012464-tr	LOC582997	931	Uncharacterized protein; Belongs to the Toll-like receptor family
7668.SPU_012465-tr	SPU_012465-tr	165	Uncharacterized protein
7668.SPU_012466-tr	SPU_012466-tr	1436	Uncharacterized protein
7668.SPU_012467-tr	SPU_012467-tr	247	Uncharacterized protein
7668.SPU_012468-tr	SPU_012468-tr	526	Uncharacterized protein
7668.SPU_012469-tr	Elk	454	Transcription factor Elk; Uncharacterized protein 
7668.SPU_012470-tr	LOC576431	696	Uncharacterized protein
7668.SPU_012471-tr	LOC575335	189	Uncharacterized protein; Belongs to the dihydrofolate reductase family
7668.SPU_012472-tr	SPU_012472-tr	718	Alpha-amylase
7668.SPU_012473-tr	SPU_012473-tr	151	Uncharacterized protein
7668.SPU_012474-tr	LOC576726	706	Alpha-amylase
7668.SPU_012475-tr	SPU_012475-tr	1443	Uncharacterized protein
7668.SPU_012476-tr	SPU_012476-tr	2226	Uncharacterized protein
7668.SPU_012477-tr	SPU_012477-tr	1349	Uncharacterized protein
7668.SPU_012478-tr	SPU_012478-tr	661	Uncharacterized protein
7668.SPU_012479-tr	SPU_012479-tr	914	Uncharacterized protein
7668.SPU_012480-tr	SPU_012480-tr	77	Uncharacterized protein; Belongs to the aldehyde dehydrogenase family
7668.SPU_012481-tr	LOC755261	586	Uncharacterized protein
7668.SPU_012482-tr	SPU_012482-tr	951	Uncharacterized protein
7668.SPU_012484-tr	SPU_012484-tr	322	Uncharacterized protein
7668.SPU_012485-tr	SPU_012485-tr	227	Uncharacterized protein
7668.SPU_012486-tr	SPU_012486-tr	320	Uncharacterized protein
7668.SPU_012487-tr	LOC578068	152	Uncharacterized protein
7668.SPU_012488-tr	LOC575893	236	Uncharacterized protein
7668.SPU_012489-tr	SPU_012489-tr	429	Uncharacterized protein
7668.SPU_012490-tr	HMX	183	Homeobox protein Hmx; May be a cell-type-specific regulator of pigment cell differentiation; Belongs to the HMX homeobox family
7668.SPU_012491-tr	Nk1	432	Homeobox transcription factor Nk1; Uncharacterized protein 
7668.SPU_012492-tr	SPU_012492-tr	1250	Uncharacterized protein
7668.SPU_012493-tr	LOC756946	177	Uncharacterized protein
7668.SPU_012494-tr	LOC575827	1301	Uncharacterized protein; Belongs to the G-protein coupled receptor 2 family
7668.SPU_012495-tr	SPU_012495-tr	185	Uncharacterized protein
7668.SPU_012496-tr	LOC762550	233	Uncharacterized protein
7668.SPU_012497-tr	LOC587983	368	Uncharacterized protein
7668.SPU_012498-tr	LOC587958	569	Uncharacterized protein
7668.SPU_012499-tr	SPU_012499-tr	604	Uncharacterized protein; Belongs to the G-protein coupled receptor 1 family
7668.SPU_012500-tr	SPU_012500-tr	460	Uncharacterized protein; Belongs to the cytochrome P450 family
7668.SPU_012501-tr	LOC590415	1634	Uncharacterized protein
7668.SPU_012502-tr	SPU_012502-tr	334	Uncharacterized protein
7668.SPU_012503-tr	stk38l	459	Uncharacterized protein
7668.SPU_012504-tr	SPU_012504-tr	3473	Uncharacterized protein
7668.SPU_012505-tr	LOC587128	404	Uncharacterized protein
7668.SPU_012506-tr	LOC583414	225	Uncharacterized protein
7668.SPU_012507-tr	LOC583374	151	Uncharacterized protein
7668.SPU_012508-tr	LOC583351	151	Uncharacterized protein
7668.SPU_012509-tr	LOC583337	151	Uncharacterized protein
7668.SPU_012510-tr	SPU_012510-tr	483	Uncharacterized protein
7668.SPU_012511-tr	LOC763172	154	Uncharacterized protein
7668.SPU_012512-tr	SPU_012512-tr	113	Uncharacterized protein
7668.SPU_012513-tr	SPU_012513-tr	223	Uncharacterized protein
7668.SPU_012514-tr	SPU_012514-tr	915	Uncharacterized protein
7668.SPU_012515-tr	SPU_012515-tr	296	Uncharacterized protein
7668.SPU_012516-tr	SPU_012516-tr	209	Palmitoyltransferase; Belongs to the DHHC palmitoyltransferase family
7668.SPU_012517-tr	SPU_012517-tr	443	Uncharacterized protein
7668.SPU_012518-tr	LOC579101	459	Uncharacterized protein
7668.SPU_012519-tr	SPU_012519-tr	1229	Uncharacterized protein
7668.SPU_012520-tr	SPU_012520-tr	420	Uncharacterized protein
7668.SPU_012521-tr	LOC585473	217	Uncharacterized protein; Belongs to the NDK family
7668.SPU_012522-tr	SPU_012522-tr	45	Uncharacterized protein
7668.SPU_012523-tr	SPU_012523-tr	546	Uncharacterized protein
7668.SPU_012524-tr	SPU_012524-tr	77	Uncharacterized protein
7668.SPU_012525-tr	LOC594421	333	Uncharacterized protein; Belongs to the G-protein coupled receptor 1 family
7668.SPU_012526-tr	SPU_012526-tr	411	Uncharacterized protein
7668.SPU_012527-tr	SPU_012527-tr	447	Uncharacterized protein
7668.SPU_012528-tr	SPU_012528-tr	1412	Uncharacterized protein
7668.SPU_012530-tr	SPU_012530-tr	560	Uncharacterized protein
7668.SPU_012531-tr	SPU_012531-tr	177	Uncharacterized protein; Belongs to the sodium:solute symporter (SSF) (TC 2.A.21) family
7668.SPU_012532-tr	SPU_012532-tr	63	Uncharacterized protein
7668.SPU_012533-tr	SPU_012533-tr	265	Uncharacterized protein
7668.SPU_012534-tr	SPU_012534-tr	263	Uncharacterized protein
7668.SPU_012535-tr	LOC756435	476	Uncharacterized protein
7668.SPU_012536-tr	SPU_012536-tr	354	Uncharacterized protein
7668.SPU_012537-tr	SPU_012537-tr	584	Uncharacterized protein
7668.SPU_012538-tr	SPU_012538-tr	1058	Uncharacterized protein
7668.SPU_012539-tr	SPU_012539-tr	165	Uncharacterized protein
7668.SPU_012540-tr	LOC581473	440	Uncharacterized protein
7668.SPU_012541-tr	SPU_012541-tr	312	Uncharacterized protein
7668.SPU_012542-tr	LOC585932	280	Uncharacterized protein
7668.SPU_012543-tr	LOC593017	407	Uncharacterized protein
7668.SPU_012544-tr	SPU_012544-tr	142	Uncharacterized protein
7668.SPU_012545-tr	LOC592990	322	Uncharacterized protein; Belongs to the short-chain dehydrogenases/reductases (SDR) family
7668.SPU_012546-tr	LOC593001	939	Uncharacterized protein
7668.SPU_012547-tr	SPU_012547-tr	387	Uncharacterized protein
7668.SPU_012548-tr	LOC581509	259	Uncharacterized protein
7668.SPU_012549-tr	LOC581457	526	Uncharacterized protein
7668.SPU_012550-tr	SPU_012550-tr	1652	Uncharacterized protein
7668.SPU_012551-tr	SPU_012551-tr	215	Uncharacterized protein
7668.SPU_012552-tr	SPU_012552-tr	320	Uncharacterized protein
7668.SPU_012553-tr	SPU_012553-tr	229	Uncharacterized protein
7668.SPU_012554-tr	SPU_012554-tr	110	Uncharacterized protein
7668.SPU_012555-tr	SPU_012555-tr	228	Uncharacterized protein
7668.SPU_012556-tr	SPU_012556-tr	123	Uncharacterized protein
7668.SPU_012557-tr	SPU_012557-tr	150	Uncharacterized protein
7668.SPU_012558-tr	SPU_012558-tr	216	Uncharacterized protein
7668.SPU_012559-tr	LOC580933	263	Uncharacterized protein
7668.SPU_012560-tr	ttc8	500	Uncharacterized protein
7668.SPU_012561-tr	SPU_012561-tr	325	Uncharacterized protein
7668.SPU_012562-tr	SPU_012562-tr	327	Uncharacterized protein
7668.SPU_012563-tr	LOC580885	1342	Uncharacterized protein
7668.SPU_012564-tr	SPU_012564-tr	91	Uncharacterized protein
7668.SPU_012565-tr	LOC590819	208	Uncharacterized protein
7668.SPU_012566-tr	SPU_012566-tr	141	Uncharacterized protein
7668.SPU_012567-tr	SPU_012567-tr	192	Uncharacterized protein
7668.SPU_012568-tr	LOC578741	323	Uncharacterized protein
7668.SPU_012569-tr	SPU_012569-tr	675	Uncharacterized protein
7668.SPU_012570-tr	SPU_012570-tr	480	Uncharacterized protein
7668.SPU_012571-tr	SPU_012571-tr	205	Uncharacterized protein
7668.SPU_012572-tr	SPU_012572-tr	94	Uncharacterized protein
7668.SPU_012573-tr	SPU_012573-tr	597	Uncharacterized protein; Belongs to the sodium:solute symporter (SSF) (TC 2.A.21) family
7668.SPU_012574-tr	SPU_012574-tr	387	Uncharacterized protein
7668.SPU_012575-tr	LOC373352	125	Histone H2A-beta, sperm; Core component of nucleosome. Nucleosomes wrap and compact DNA into chromatin, limiting DNA accessibility to the cellular machineries which require DNA as a template. Histones thereby play a central role in transcription regulation, DNA repair, DNA replication and chromosomal stability. DNA accessibility is regulated via a complex set of post-translational modifications of histones, also called histone code, and nucleosome remodeling
7668.SPU_012576-tr	SPU_012576-tr	256	Uncharacterized protein
7668.SPU_012577-tr	SPU_012577-tr	415	Uncharacterized protein
7668.SPU_012578-tr	SPU_012578-tr	220	Uncharacterized protein
7668.SPU_012579-tr	LOC594179	471	Uncharacterized protein
7668.SPU_012580-tr	SPU_012580-tr	734	Uncharacterized protein
7668.SPU_012581-tr	SPU_012581-tr	1140	Uncharacterized protein
7668.SPU_012582-tr	SPU_012582-tr	1938	Uncharacterized protein
7668.SPU_012583-tr	LOC594598	745	Uncharacterized protein
7668.SPU_012584-tr	SPU_012584-tr	772	Uncharacterized protein
7668.SPU_012585-tr	SPU_012585-tr	608	Uncharacterized protein
7668.SPU_012586-tr	LOC590867	483	Uncharacterized protein
7668.SPU_012587-tr	SPU_012587-tr	1503	Uncharacterized protein
7668.SPU_012588-tr	SPU_012588-tr	108	Uncharacterized protein
7668.SPU_012589-tr	SPU_012589-tr	333	Uncharacterized protein
7668.SPU_012590-tr	LOC578721	1362	Uncharacterized protein
7668.SPU_012591-tr	SPU_012591-tr	217	Uncharacterized protein
7668.SPU_012592-tr	SPU_012592-tr	670	Uncharacterized protein
7668.SPU_012593-tr	LOC765043	733	Uncharacterized protein
7668.SPU_012594-tr	SPU_012594-tr	299	Uncharacterized protein
7668.SPU_012595-tr	SPU_012595-tr	1468	Uncharacterized protein
7668.SPU_012596-tr	LOC587388	101	Uncharacterized protein
7668.SPU_012597-tr	SPU_012597-tr	410	Uncharacterized protein
7668.SPU_012598-tr	SPU_012598-tr	220	Uncharacterized protein
7668.SPU_012599-tr	LOC576835	562	Uncharacterized protein
7668.SPU_012600-tr	LOC576764	305	Uncharacterized protein
7668.SPU_012601-tr	SPU_012601-tr	309	Uncharacterized protein
7668.SPU_012602-tr	SPU_012602-tr	725	Uncharacterized protein
7668.SPU_012603-tr	SPU_012603-tr	546	Uncharacterized protein
7668.SPU_012604-tr	LOC755406	251	Uncharacterized protein
7668.SPU_012605-tr	SPU_012605-tr	498	Uncharacterized protein
7668.SPU_012606-tr	LOC580374	376	Uncharacterized protein
7668.SPU_012607-tr	LOC580433	132	Uncharacterized protein
7668.SPU_012608-tr	SPU_012608-tr	502	Uncharacterized protein
7668.SPU_012609-tr	SPU_012609-tr	154	Uncharacterized protein
7668.SPU_012610-tr	LOC594685	582	Uncharacterized protein; Belongs to the G-protein coupled receptor 1 family
7668.SPU_012611-tr	LOC594682	357	Uncharacterized protein
7668.SPU_012612-tr	SPU_012612-tr	2278	Uncharacterized protein
7668.SPU_012613-tr	SPU_012613-tr	345	Uncharacterized protein
7668.SPU_012614-tr	LOC591492	510	Uncharacterized protein
7668.SPU_012615-tr	SPU_012615-tr	382	Uncharacterized protein
7668.SPU_012616-tr	SPU_012616-tr	127	Uncharacterized protein
7668.SPU_012617-tr	SPU_012617-tr	211	Uncharacterized protein
7668.SPU_012618-tr	SPU_012618-tr	375	Uncharacterized protein
7668.SPU_012619-tr	SPU_012619-tr	150	Uncharacterized protein
7668.SPU_012620-tr	LOC582858	226	Uncharacterized protein
7668.SPU_012621-tr	TBP	265	TATA-box-binding protein; General transcription factor that functions at the core of the DNA-binding multiprotein factor TFIID. Binding of TFIID to the TATA box is the initial transcriptional step of the pre- initiation complex (PIC), playing a role in the activation of eukaryotic genes transcribed by RNA polymerase II
7668.SPU_012622-tr	LOC581163	521	Uncharacterized protein
7668.SPU_012623-tr	LOC580911	143	Uncharacterized protein
7668.SPU_012624-tr	LOC580803	269	Uncharacterized protein
7668.SPU_012625-tr	SPU_012625-tr	302	Uncharacterized protein
7668.SPU_012626-tr	LOC581037	123	Histone H2B; Belongs to the histone H2B family
7668.SPU_012628-tr	LOC581267	247	Uncharacterized protein
7668.SPU_012629-tr	SPU_012629-tr	355	Uncharacterized protein; Belongs to the G-protein coupled receptor 1 family
7668.SPU_012630-tr	LOC581447	578	Uncharacterized protein
7668.SPU_012631-tr	SPU_012631-tr	1315	Uncharacterized protein
7668.SPU_012632-tr	SPU_012632-tr	574	Uncharacterized protein
7668.SPU_012633-tr	SPU_012633-tr	279	Uncharacterized protein
7668.SPU_012634-tr	SPU_012634-tr	256	Uncharacterized protein
7668.SPU_012635-tr	SPU_012635-tr	669	Uncharacterized protein
7668.SPU_012636-tr	LOC579072	87	Uncharacterized protein
7668.SPU_012637-tr	LOC574694	491	Uncharacterized protein
7668.SPU_012638-tr	SPU_012638-tr	229	Uncharacterized protein
7668.SPU_012639-tr	LOC574569	685	Uncharacterized protein
7668.SPU_012640-tr	LOC585318	207	Uncharacterized protein
7668.SPU_012641-tr	SPU_012641-tr	391	Uncharacterized protein
7668.SPU_012642-tr	LOC756945	256	Uncharacterized protein
7668.SPU_012643-tr	LOC752503	146	Uncharacterized protein
7668.SPU_012644-tr	SPU_012644-tr	768	Acyl-coenzyme A oxidase; Belongs to the acyl-CoA oxidase family
7668.SPU_012645-tr	SPU_012645-tr	380	Uncharacterized protein
7668.SPU_012646-tr	SPU_012646-tr	601	Uncharacterized protein
7668.SPU_012647-tr	SPU_012647-tr	341	Uncharacterized protein
7668.SPU_012648-tr	LOC764243	519	Uncharacterized protein
7668.SPU_012649-tr	SPU_012649-tr	96	Uncharacterized protein
7668.SPU_012650-tr	SPU_012650-tr	770	Uncharacterized protein
7668.SPU_012651-tr	LOC575110	367	Uncharacterized protein
7668.SPU_012652-tr	SPU_012652-tr	880	Uncharacterized protein
7668.SPU_012653-tr	SPU_012653-tr	588	Uncharacterized protein; Belongs to the G-protein coupled receptor 2 family
7668.SPU_012654-tr	SPU_012654-tr	720	Uncharacterized protein
7668.SPU_012655-tr	EGF1	701	Fibropellin-1; Forms the apical lamina, a component of the extracellular matrix
7668.SPU_012656-tr	SPU_012656-tr	759	Uncharacterized protein
7668.SPU_012657-tr	SPU_012657-tr	92	Uncharacterized protein
7668.SPU_012658-tr	SPU_012658-tr	53	Uncharacterized protein
7668.SPU_012659-tr	SPU_012659-tr	284	Uncharacterized protein
7668.SPU_012660-tr	SPU_012660-tr	578	Uncharacterized protein
7668.SPU_012661-tr	SPU_012661-tr	950	Uncharacterized protein
7668.SPU_012662-tr	SPU_012662-tr	744	Uncharacterized protein
7668.SPU_012663-tr	LOC583736	641	Uncharacterized protein
7668.SPU_012664-tr	SPU_012664-tr	165	Uncharacterized protein
7668.SPU_012665-tr	SPU_012665-tr	598	Uncharacterized protein
7668.SPU_012666-tr	SPU_012666-tr	512	Uncharacterized protein
7668.SPU_012667-tr	LOC585087	137	Uncharacterized protein
7668.SPU_012668-tr	LOC763266	149	Uncharacterized protein
7668.SPU_012669-tr	LOC588335	272	Uncharacterized protein
7668.SPU_012670-tr	SPU_012670-tr	605	Uncharacterized protein
7668.SPU_012671-tr	LOC756962	769	Uncharacterized protein
7668.SPU_012672-tr	SPU_012672-tr	173	Uncharacterized protein
7668.SPU_012674-tr	LOC593706	410	Uncharacterized protein; Belongs to the protein kinase superfamily
7668.SPU_012675-tr	LOC593695	192	Uncharacterized protein
7668.SPU_012676-tr	LOC593717	304	Uncharacterized protein
7668.SPU_012677-tr	LOC591635	335	Malate dehydrogenase
7668.SPU_012678-tr	SPU_012678-tr	333	Tubulin alpha chain; Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain
7668.SPU_012679-tr	tuba1c	452	Tubulin alpha chain; Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain
7668.SPU_012680-tr	SPU_012680-tr	322	Uncharacterized protein
7668.SPU_012681-tr	SPU_012681-tr	331	Uncharacterized protein
7668.SPU_012682-tr	SPU_012682-tr	614	Uncharacterized protein
7668.SPU_012683-tr	SPU_012683-tr	942	Uncharacterized protein; Belongs to the DOCK family
7668.SPU_012684-tr	SPU_012684-tr	44	Uncharacterized protein
7668.SPU_012685-tr	LOC591510	390	Uncharacterized protein
7668.SPU_012686-tr	SPU_012686-tr	165	Uncharacterized protein
7668.SPU_012687-tr	SPU_012687-tr	399	Uncharacterized protein
7668.SPU_012688-tr	SPU_012688-tr	179	Uncharacterized protein
7668.SPU_012689-tr	SPU_012689-tr	399	Uncharacterized protein
7668.SPU_012690-tr	LOC587947	774	Uncharacterized protein
7668.SPU_012691-tr	SPU_012691-tr	583	Uncharacterized protein
7668.SPU_012692-tr	SPU_012692-tr	2308	Uncharacterized protein
7668.SPU_012693-tr	SPU_012693-tr	686	Uncharacterized protein
